qnano,userid,title,content,regtime
71,minjung,"한남동 아파트 업데이트 해주세요","한남동에 최신 일자로 업데이트 해주세요!!!","2021-11-25 02:49:29"
72,wonsik,"관심 지역 변경은 어떻게 하나요","관심 지역을 서울특별시 금천구 시흥동으로 변경하고싶어요","2021-11-25 02:49:29"
73,ayun,"문의가 있는데요","주변 지하철 정보도 추가해주세요","2021-11-25 02:49:29"
74,hyeji,"문의 드립니다","주변 학군 정보도 추가되면 좋을거같아요","2021-11-25 02:49:29"
75,dongjae,"안녕하세요. 몇가지 질문 드립니다.","주변에 지하철 정보나 학군 정보 볼 수 있나요?","2021-11-25 02:49:29"
76,wonsik,"내 정보 수정은 어디서 찾을 수 있나요","정보 수정은 어디서 할수 있을까요...","2021-11-25 02:49:29"
77,minjung,"지하철도 추가해주세요","근처 지하철 정보도 보이면 좋을거같아요","2021-11-25 02:49:29"
78,dongjae,"관심 지역 변경 문의","관심 지역을 서울특별시 금천구 시흥동으로 변경하고싶어요","2021-11-25 02:49:29"
79,ayun,"한남동 아파트 업데이트 해주세요","한남동에 최신 일자로 업데이트 해주세요!!!","2021-11-25 02:49:29"
80,hyeji,"아파트 업데이트 해주세요","한남동에 최신 일자로 업데이트 해주세요!!!","2021-11-25 02:49:29"
81,dongjae,"로그인 문의","로그인이 잘 안돼서요 확인 좀 해주세요.","2021-11-25 02:49:29"
82,ayun,"거래내역 문의","업데이트 좀 해주세요","2021-11-25 02:49:29"
83,minjung,"문의 드려요","코로나 접종센터는 서울만 나오는건가여?","2021-11-25 02:49:29"
84,wonsik,"코로나 접종센터 문의","코로나 접종센터 서울 외에 다른 부분도 보고싶어요","2021-11-25 02:49:29"
85,hyeji,"종로구 아파트 문의요","최신 정보로 업데이트 언제 되나요?","2021-11-25 02:49:29"
86,minjung,"내 정보 수정 관련","관심지역을 변경하고싶습니다 ","2021-11-25 02:49:29"
87,dongjae,"로드뷰 문의","로드뷰 화면이 더 컸으면 좋겠습니다","2021-11-25 02:49:29"
88,ayun,"음식점도 추가해주세요","주변 음식점도 보고싶어요","2021-11-25 02:49:29"
89,minjung,"업데이트 주기가 어떻게 되나요","아파트 거래내역 업데이트 주기 알고싶어요 ","2021-11-25 02:49:29"
90,hyeji,"은행 정보 나오는거 너무 좋네요","은행 정보 나오는거 너무 좋은거같아요ㅜㅜ!!!","2021-11-25 02:49:29"
91,ayun,"한남동 아파트 업데이트 해주세요","한남동에 최신 일자로 업데이트 해주세요!!!","2021-11-25 02:49:29"
92,wonsik,"근처 맛집도 띄워주세요","아파트 근처 맛집도 띄워주세요","2021-11-25 02:49:29"
93,dongjae,"옆에 메뉴바 글씨가 잘 안보여요","글씨 크기 좀 키워 주세요","2021-11-25 02:49:29"
